Longitude,Latitude,Month,pr_ab,x,y
-119.05233399999999,35.32992200000001,4,1,86072.96126186069,-298122.1980449911
-117.91031100000001,33.72197800000001,4,1,193719.41030852334,-474865.9827497299
-117.73916999999997,34.117099000000024,4,1,208536.68942684634,-430690.8209513533
-119.821107,36.75277499999995,4,1,15950.152108808868,-140446.6203221525
-119.749786,34.45447199999999,4,1,22983.27243126106,-395713.0631077648
-119.287341,36.305531000000016,4,1,63913.99572706874,-189926.9854412931
-119.12698700000001,36.289705,4,1,78310.99028775824,-191565.25194787094
-117.92759000000001,33.806698999999995,4,1,191912.53034904107,-465508.443959821
-117.71047900000002,33.97968999999999,4,1,211550.74361491756,-445865.2765349173
-117.695953,34.07083800000005,4,1,212646.94521955765,-435725.182355911
-117.387992,34.01025500000002,4,1,241247.90207613187,-441706.0162050463
-117.386361,33.96345000000002,4,1,241541.61406806024,-446891.5445196759
-117.940369,34.07105600000002,4,1,190092.41003944055,-436220.1087648808
-117.365398,33.89107999999994,4,1,243701.46106108438,-454861.63925141655
-117.34943599999998,33.69567099999997,4,1,245783.32917561755,-476482.1896891617
-115.564951,32.86770899999996,4,1,415450.53342366486,-561958.4617165015
-120.843682,37.476060000000025,4,1,-74506.52127478417,-59732.37660016073
-119.884343,36.766598999999985,4,1,10310.1109566726,-138918.97601593006
-119.834897,36.84204500000002,4,1,14703.38547400978,-130526.71133947093
-119.831808,36.748341999999965,4,1,14996.915415946098,-140941.090328631
-119.763441,36.73965599999996,4,1,21095.32950412031,-141893.38232072303
-119.753371,36.878447000000016,4,1,21953.245365419963,-126464.82449487224
-119.752378,36.75241300000001,4,1,22078.1831867493,-140472.97264291765
-119.749534,36.74786299999999,4,1,22333.09170777007,-140978.013267803
-119.748962,36.71309100000004,4,1,22394.320506294567,-144842.58508551074
-119.73555399999998,36.684764999999985,4,1,23599.177685153427,-147987.56789515028
-119.49965600000002,36.53410499999999,4,1,44738.95822711716,-164646.80562043795
-119.48441600000001,36.555552000000006,4,1,46088.681479770836,-162255.971426602
-119.32265999999998,36.30566900000002,4,1,60746.39400711141,-189934.88354756916
-119.28765100000001,36.33462499999997,4,1,63861.90587944766,-186694.17784823384
-119.19861600000002,36.290549999999975,4,1,71885.0913778559,-191528.12111654086
-119.089332,35.324498000000006,4,1,82718.45776541972,-298757.50465889415
-119.07064350000002,36.394785819999974,4,1,83250.50816149314,-179840.3943754458
-119.008962,35.299364000000004,4,1,90047.6135725634,-301475.43452687
-118.150466,34.15604399999998,4,1,170520.32758753005,-427193.3329157238
-118.11264000000001,34.08834999999999,4,1,174156.76763201578,-434632.86640000436
